credit_score,annual_income,loan_amount,debt_to_income_ratio,employment_status,home_ownership,loan_status
704,4824375,1205575,0.218,Self-Employed,Mortgage,0
597,3451057,1037915,0.324,Unemployed,Mortgage,1
740,4039361,2241498,0.121,Employed,Own,0
755,6822932,1973159,0.147,Self-Employed,Mortgage,0
524,4977012,618765,0.153,Self-Employed,Own,0
576,5891091,3629922,0.238,Self-Employed,Own,0
690,6947432,1548697,0.259,Unemployed,Rent,1
655,4120203,760114,0.246,Employed,Rent,0
679,7253287,3801815,0.21,Employed,Rent,0
612,6005963,2563289,0.22,Employed,Rent,0
750,2680319,682592,0.212,Employed,Mortgage,0
742,10221367,5739450,0.232,Employed,Rent,0
685,3868879,2623464,0.165,Self-Employed,Rent,0
770,2172276,1642487,0.394,Unemployed,Rent,1
717,2947081,5035361,0.278,Employed,Mortgage,0
611,2982605,1849323,0.192,Self-Employed,Mortgage,0
710,5100931,1621986,0.223,Employed,Own,0
603,4333596,1041982,0.196,Employed,Rent,0
750,4199302,2485850,0.144,Employed,Rent,0
676,6774626,2309309,0.336,Employed,Own,0
665,5890095,1671288,0.083,Employed,Mortgage,0
626,5820292,951512,0.151,Self-Employed,Mortgage,1
778,6099753,1811724,0.336,Employed,Mortgage,0
668,6762508,1575340,0.339,Employed,Rent,0
646,2075000,650471,0.208,Employed,Own,0
652,4141700,590379,0.144,Employed,Mortgage,0
723,2075000,2456966,0.139,Unemployed,Mortgage,0
709,5059929,415000,0.213,Unemployed,Mortgage,0
713,4958088,1909996,0.119,Employed,Rent,0
714,8382087,1183746,0.24,Employed,Rent,0
850,8999275,4133400,0.278,Employed,Mortgage,0
647,5499829,1171047,0.204,Employed,Mortgage,0
639,3869626,2624709,0.239,Employed,Rent,0
615,6333896,1252968,0.287,Employed,Rent,0
729,3816672,1791306,0.223,Employed,Own,0
770,4966056,2770706,0.206,Employed,Rent,0
671,8136822,1196694,0.424,Employed,Mortgage,0
613,3760066,3323154,0.253,Employed,Mortgage,0
614,7434808,825103,0.292,Employed,Own,0
732,6972913,2033085,0.248,Employed,Mortgage,0
739,3083118,3155577,0.231,Employed,Own,0
723,8087188,2625705,0.226,Employed,Rent,0
627,7047115,6327090,0.281,Employed,Own,0
699,5229415,969440,0.111,Self-Employed,Own,0
689,3394534,629970,0.337,Unemployed,Mortgage,0
697,3234012,824688,0.211,Employed,Mortgage,0
750,3798080,2626452,0.098,Self-Employed,Rent,0
698,6518405,2344003,0.139,Self-Employed,Mortgage,0
734,3081790,1776947,0.143,Employed,Rent,0
685,6184745,753723,0.104,Employed,Rent,0
703,2671023,2829636,0.22,Employed,Own,0
731,4487478,701931,0.25,Employed,Rent,0
563,5249584,3723214,0.175,Unemployed,Mortgage,0
654,16600000,8300000,0.175,Employed,Rent,0
642,2495976,2137914,0.125,Employed,Rent,0
629,10374336,2488091,0.259,Employed,Rent,0
658,5356156,1171545,0.349,Employed,Rent,0
800,6103820,465879,0.172,Employed,Mortgage,0
611,5272492,1084810,0.176,Employed,Own,0
757,6207072,769742,0.287,Employed,Mortgage,0
545,4602018,600754,0.222,Self-Employed,Own,1
